JD,YEAR,MONTH,DAY,OBS,name,SEE,g,s,W
2458454," 2018",12,1,ONJ,"John O'Neill",F,0,0,0
2458454," 2018",12,1,HOWR,"Rodney Howe",G,0,0,0
2458454," 2018",12,1,BRAD,"Dave Branchett",F,0,0,0
2458455," 2018",12,2,KAND,"Kandilli Observatory",F,0,0,0
2458455," 2018",12,2,WILW,"William M. Wilson",F,0,0,0
2458454," 2018",12,1,CNT,"Dean Chantiles",E,0,0,0
2458455," 2018",12,2,ASA,"Salvador Aguirre",E,0,0,0
2458455," 2018",12,2,HOWR,"Rodney Howe",E,0,0,0
2458455," 2018",12,2,JDAC,"David Jackson",G,0,0,0
2458455," 2018",12,2,CNT,"Dean Chantiles",F,0,0,0
2458455," 2018",12,2,BRAD,"Dave Branchett",F,0,0,0
2458456," 2018",12,3,KAND,"Kandilli Observatory",F,0,0,0
2458456," 2018",12,3,HOWR,"Rodney Howe",E,0,0,0
2458454," 2018",12,1,BERJ,"Jose Alberto Berdejo",P,0,0,0
2458455," 2018",12,2,BERJ,"Jose Alberto Berdejo",P,0,0,0
2458456," 2018",12,3,BERJ,"Jose Alberto Berdejo",F,0,0,0
2458456," 2018",12,3,CNT,"Dean Chantiles",G,0,0,0
2458456," 2018",12,3,BRAD,"Dave Branchett",F,0,0,0
2458456," 2018",12,3,ASA,"Salvador Aguirre",G,0,0,0
2458457," 2018",12,4,FERJ,"Javier Ruiz",F,0,0,0
2458457," 2018",12,4,ASA,"Salvador Aguirre",G,0,0,0
2458457," 2018",12,4,HOWR,"Rodney Howe",E,0,0,0
2458457," 2018",12,4,CNT,"Dean Chantiles",G,0,0,0
2458457," 2018",12,4,EHOA,"Howard Eskildsen",F,0,0,0
2458456," 2018",12,3,ERB,"Bob Eramia",F,0,0,0
2458457," 2018",12,4,ERB,"Bob Eramia",F,0,0,0
2458458," 2018",12,5,FERJ,"Javier Ruiz",G,1,12,22
2458458," 2018",12,5,WILW,"William M. Wilson",P,1,9,19
2458454," 2018",12,1,BRAF,"Raffaello Braga",F,0,0,0
2458455," 2018",12,2,BRAF,"Raffaello Braga",P,0,0,0
2458458," 2018",12,5,BRAD,"Dave Branchett",F,1,5,15
2458458," 2018",12,5,EHOA,"Howard Eskildsen",F,1,8,18
2458459," 2018",12,6,EHOA,"Howard Eskildsen",F,1,9,19
2458459," 2018",12,6,ASA,"Salvador Aguirre",G,1,8,18
2458459," 2018",12,6,BRAD,"Dave Branchett",F,1,6,16
2458458," 2018",12,5,ERB,"Bob Eramia",P,1,3,13
2458459," 2018",12,6,ERB,"Bob Eramia",P,1,2,12
